Title,Date
"웬트워스: 시즌 6: 벼랑","20. 6. 15."
"웬트워스: 시즌 6: 웬트워스의 천사","20. 6. 15."
"웬트워스: 시즌 6: 쓰디쓴 약","20. 6. 15."
"웬트워스: 시즌 6: 새로운 수감자","20. 6. 14."
"웬트워스: 시즌 6: 피를 흘릴지라도","20. 6. 14."
"웬트워스: 시즌 6: 권투 선수","20. 6. 14."
"웬트워스: 시즌 6: 결백","20. 6. 14."
"웬트워스: 시즌 5: 필사적으로","20. 6. 13."
"웬트워스: 시즌 5: 치명적 일격","20. 6. 13."
"웬트워스: 시즌 5: 그저 무정부 상태","20. 6. 13."
"웬트워스: 시즌 5: 스네이크헤드","20. 6. 13."
"웬트워스: 시즌 5: 상자 안에서","20. 6. 12."
"웬트워스: 시즌 5: 합의","20. 6. 12."
"웬트워스: 시즌 5: 해피 버스데이, 베라","20. 6. 12."
"웬트워스: 시즌 5: 감옥 한가운데","20. 6. 12."
"웬트워스: 시즌 5: 끝나지 않은","20. 6. 12."
"웬트워스: 시즌 5: 오직 진실만","20. 6. 10."
"웬트워스: 시즌 5: 망할 X의 귀환","20. 6. 10."
"웬트워스: 시즌 5: 흉터","20. 6. 8."
"웬트워스: 시즌 4: 격분","20. 6. 8."
"웬트워스: 시즌 4: 최후의 순간","20. 6. 8."
"웬트워스: 시즌 4: 습격","20. 6. 7."
"웬트워스: 시즌 4: 사후 세계","20. 6. 7."
"웬트워스: 시즌 4: 대안","20. 6. 7."
"웬트워스: 시즌 4: 비상 버튼","20. 6. 7."
"웬트워스: 시즌 4: 분열 그리고 정복","20. 6. 7."
"웬트워스: 시즌 4: 사랑과 증오","20. 6. 7."
"웬트워스: 시즌 4: 교도관의 정부(情婦)","20. 6. 7."
"웬트워스: 시즌 4: 재소자","20. 6. 7."
"웬트워스: 시즌 4: 위험한 거미","20. 6. 6."
"웬트워스: 시즌 4: 선제 공격","20. 6. 6."
"웬트워스: 시즌 3: 불과 피","20. 6. 6."
"웬트워스: 시즌 3: 산 자와 죽은 자","20. 6. 6."
"웬트워스: 시즌 3: 상급 법원","20. 6. 6."
"웬트워스: 시즌 3: 괴짜쇼","20. 6. 6."
"웬트워스: 시즌 3: 금붕어","20. 6. 6."
"웬트워스: 시즌 3: 긴 게임","20. 6. 6."
"웬트워스: 시즌 3: 증거","20. 6. 5."
"웬트워스: 시즌 3: 자비","20. 6. 5."
"웬트워스: 시즌 3: 옳은 일","20. 6. 5."
"웬트워스: 시즌 3: 칼을 꺼내라","20. 6. 5."
"웬트워스: 시즌 3: 새옹지마","20. 6. 4."
"웬트워스: 시즌 3: 교도소장의 기쁨","20. 6. 4."
"웬트워스: 시즌 2: 두려워하라","20. 6. 4."
"웬트워스: 시즌 2: 늦은 밤까지","20. 6. 4."
"웬트워스: 시즌 2: 상습 전과자","20. 6. 4."
"웬트워스: 시즌 2: 해결사","20. 6. 3."
"웬트워스: 시즌 2: 어머니의 죄","20. 6. 3."
"웬트워스: 시즌 2: 변형","20. 6. 3."
"웬트워스: 시즌 2: 핑크 드래곤","20. 6. 3."
"웬트워스: 시즌 2: 칼을 비틀어라","20. 6. 3."
"웬트워스: 시즌 2: 도사린 위험","20. 6. 2."
"웬트워스: 시즌 2: 정원에 온 남자들","20. 6. 2."
"웬트워스: 시즌 2: 사생결단","20. 6. 2."
"웬트워스: 시즌 2: 다시 태어났다","20. 5. 31."
"웬트워스: 시즌 1: 체크 메이트","20. 5. 31."
"웬트워스: 시즌 1: 달을 향해","20. 5. 31."
"웬트워스: 시즌 1: 심리전","20. 5. 31."
"웬트워스: 시즌 1: 죽는다","20. 5. 31."
"웬트워스: 시즌 1: 포로","20. 5. 31."
"웬트워스: 시즌 1: 벨벳 커튼","20. 5. 30."
"웬트워스: 시즌 1: 우리가 하는 것","20. 5. 30."
"웬트워스: 시즌 1: 기다린 여자","20. 5. 30."
"웬트워스: 시즌 1: 나를 날려 보내 줘","20. 5. 30."
"웬트워스: 시즌 1: 집보다 좋은 곳은 없다","20. 5. 30."
"호텔 뭄바이","20. 5. 24."
"괜찮아 사랑이야: 시즌 1: 제1회","20. 5. 24."
"슬기로운 의사생활: 시즌 1: 11화","20. 5. 24."
"반쪽의 이야기","20. 5. 20."
"제인 도","20. 5. 20."
"슬기로운 의사생활: 시즌 1: 10화","20. 5. 16."
"남산의 부장들","20. 5. 12."
"작은 아씨들","20. 5. 11."
"인간수업: 시즌 1: 10화","20. 5. 3."
"인간수업: 시즌 1: 9화","20. 5. 3."
"인간수업: 시즌 1: 8화","20. 5. 3."
"인간수업: 시즌 1: 7화","20. 5. 3."
"인간수업: 시즌 1: 6화","20. 5. 3."
"인간수업: 시즌 1: 5화","20. 5. 3."
"인간수업: 시즌 1: 4화","20. 5. 3."
"인간수업: 시즌 1: 3화","20. 5. 3."
"인간수업: 시즌 1: 2화","20. 5. 3."
"인간수업: 시즌 1: 1화","20. 5. 2."
"동백꽃 필 무렵: 시즌 1: 기적 같은 소리","20. 4. 13."
"동백꽃 필 무렵: 시즌 1: 7년 3개월짜리 엄마","20. 4. 13."
"동백꽃 필 무렵: 시즌 1: 여덟 살 인생","20. 4. 13."
"동백꽃 필 무렵: 시즌 1: 옹벤저스","20. 4. 12."
"동백꽃 필 무렵: 시즌 1: 공수 교대 (feat. 악셀을 밟는 자)","20. 4. 12."
"동백꽃 필 무렵: 시즌 1: 엄마. 妈妈. Mother.","20. 4. 12."
"동백꽃 필 무렵: 시즌 1: 엄마의 나이테 엄마는 그렇게 나이를 먹었다.","20. 4. 12."
"동백꽃 필 무렵: 시즌 1: 그  썸의 끝","20. 4. 11."
"동백꽃 필 무렵: 시즌 1: 나를 잊지 말아요","20. 4. 8."
"동백꽃 필 무렵: 시즌 1: 히어로는 막판이다","20. 4. 6."
"동백꽃 필 무렵: 시즌 1: 착한 놈은 계를 못 타","20. 4. 6."
"동백꽃 필 무렵: 시즌 1: 웰컴이다","20. 4. 5."
"동백꽃 필 무렵: 시즌 1: 이 구역의 스라소니","20. 4. 5."
"동백꽃 필 무렵: 시즌 1: 옹산 요정","20. 4. 5."
"동백꽃 필 무렵: 시즌 1: 1986.08.29. 본투비하마","20. 4. 5."
"동백꽃 필 무렵: 시즌 1: 바람, 바람, 파란","20. 4. 5."
"동백꽃 필 무렵: 시즌 1: 촌놈","20. 4. 5."
"동백꽃 필 무렵: 시즌 1: 똥개의 전략","20. 4. 4."
"동백꽃 필 무렵: 시즌 1: 좋은놈, 나쁜놈, 치사한놈,","20. 4. 4."
"슬기로운 의사생활: 시즌 1: 4화","20. 4. 4."
"윤희에게","20. 3. 30."
"빌어먹을 세상 따위: 시즌 2: 8화","20. 3. 29."
"빌어먹을 세상 따위: 시즌 2: 7화","20. 3. 29."
"빌어먹을 세상 따위: 시즌 2: 6화","20. 3. 29."
"빌어먹을 세상 따위: 시즌 2: 5화","20. 3. 29."
"빌어먹을 세상 따위: 시즌 2: 4화","20. 3. 29."
"빌어먹을 세상 따위: 시즌 2: 3화","20. 3. 29."
"빌어먹을 세상 따위: 시즌 2: 2화","20. 3. 29."
"빌어먹을 세상 따위: 시즌 2: 1화","20. 3. 28."
"슬기로운 의사생활: 시즌 1: 3화","20. 3. 28."
"슬기로운 의사생활: 시즌 1: 2화","20. 3. 28."
"슬기로운 의사생활: 시즌 1: 1화","20. 3. 28."
"굿 플레이스: 시즌 4: 칠랙스","20. 3. 21."
"굿 플레이스: 시즌 4: 애리조나 여자아이 - 파트 2","20. 3. 21."
"킹덤: 시즌 2: 6화","20. 3. 20."
"킹덤: 시즌 2: 5화","20. 3. 20."
"킹덤: 시즌 2: 4화","20. 3. 16."
"킹덤: 시즌 2: 3화","20. 3. 16."
"킹덤: 시즌 2: 2화","20. 3. 16."
"킹덤: 시즌 2: 1화","20. 3. 16."
"킹덤: 시즌 1: 1화","20. 3. 15."
"결혼 이야기","20. 2. 23."
"내가 사랑했던 모든 남자들에게: P.S. 여전히 널 사랑해","20. 2. 23."
"브이 포 벤데타","20. 2. 23."
"오티스의 비밀 상담소: 시즌 2: 4화","20. 2. 6."
"오티스의 비밀 상담소: 시즌 2: 3화","20. 2. 6."
"오티스의 비밀 상담소: 시즌 2: 2화","20. 2. 6."
"오티스의 비밀 상담소: 시즌 2: 1화","20. 2. 6."
"머더 미스터리","20. 2. 1."
"맨 인 블랙: 인터내셔널","20. 1. 3."
"블랙 미러: 시즌 2: 왈도의 전성시대","20. 1. 1."
"박나래의 농염주의보","19. 12. 26."
"슈츠: 시즌 5: 나는 할 수 없어","19. 12. 24."
"동백꽃 필 무렵: 시즌 1: 게르마늄 팔찌를 찬 여자","19. 12. 24."
"블랙 미러: 시즌 2: 돌아올게","19. 12. 23."
"주먹왕 랄프 2: 인터넷 속으로","19. 12. 17."
"효리네 민박: 시즌 1: 13화","19. 11. 24."
"슈츠: 시즌 1: 파일럿 파트 1 & 2","19. 11. 10."
"오펀 블랙: 시즌 5: 그들의 잘못을 딛고","19. 11. 8."
"오펀 블랙: 시즌 5: 노예의 삶","19. 11. 8."
"오펀 블랙: 시즌 5: 운명을 걸고","19. 11. 7."
"오펀 블랙: 시즌 5: 침묵 혹은 질식","19. 11. 7."
"오펀 블랙: 시즌 5: 가녀린 손목에","19. 11. 7."
"오펀 블랙: 시즌 5: 희생양","19. 11. 7."
"오펀 블랙: 시즌 5: 생명 깃든 곳에 수난이","19. 11. 7."
"오펀 블랙: 시즌 5: 그녀의 심장 아래에는","19. 11. 7."
"오펀 블랙: 시즌 5: 탐욕의 손길","19. 11. 7."
"오펀 블랙: 시즌 5: 무모한 사람들","19. 11. 7."
"오펀 블랙: 시즌 4: 실험실 쥐들의 반란","19. 11. 6."
"오펀 블랙: 시즌 4: 임시 협정","19. 11. 6."
"오펀 블랙: 시즌 4: 재설계","19. 11. 6."
"오펀 블랙: 시즌 4: 머로 박사의 섬","19. 11. 6."
"오펀 블랙: 시즌 4: 지킬 수만 있다면","19. 11. 5."
"오펀 블랙: 시즌 4: 인간 원자재","19. 11. 3."
"오펀 블랙: 시즌 4: 합리적인 통제","19. 11. 3."
"오펀 블랙: 시즌 4: 진보의 오점","19. 11. 3."
"오펀 블랙: 시즌 4: 불법적인 국경 횡단","19. 11. 2."
"오펀 블랙: 시즌 4: 자연의 붕괴","19. 11. 2."
"오펀 블랙: 시즌 3: 앞으로 쓰여질 역사","19. 11. 1."
"오펀 블랙: 시즌 3: 파산한 내일의 환영(幻影)","19. 11. 1."
"오펀 블랙: 시즌 3: 목적엔 냉혹, 수단엔 교활","19. 11. 1."
"오펀 블랙: 시즌 3: 공포와 증오의 사회","19. 10. 31."
"오펀 블랙: 시즌 3: 싸움의 고뇌","19. 10. 31."
"오펀 블랙: 시즌 3: 과거 좌절의 상처","19. 10. 27."
"오펀 블랙: 시즌 3: 새 방위 장비","19. 10. 27."
"오펀 블랙: 시즌 3: 복잡하고 비싼 실험","19. 10. 27."
"오펀 블랙: 시즌 3: 일시적 희생","19. 10. 26."
"오펀 블랙: 시즌 3: 위협","19. 10. 26."
"오펀 블랙: 시즌 2: 또 다른 어둠","19. 10. 26."
"오펀 블랙: 시즌 2: 새로운 시작","19. 10. 26."
"오펀 블랙: 시즌 2: 희망의 빛","19. 10. 26."
"오펀 블랙: 시즌 2: 어두운 진실","19. 10. 25."
"오펀 블랙: 시즌 2: 백조의 어린 딸들","19. 10. 25."
"오펀 블랙: 시즌 2: 되찾은 우정","19. 10. 25."
"오펀 블랙: 시즌 2: 리다 프로젝트","19. 10. 25."
"오펀 블랙: 시즌 2: 또 하나의 가족","19. 10. 24."
"오펀 블랙: 시즌 2: 두 얼굴의 사람들","19. 10. 24."
"오펀 블랙: 시즌 2: 키라를 찾아서","19. 10. 24."
"오펀 블랙: 시즌 1: 무서운 진실","19. 10. 24."
"오펀 블랙: 시즌 1: 기적의 아이","19. 10. 23."
"오펀 블랙: 시즌 1: 지키고 싶은 것들","19. 10. 23."
"오펀 블랙: 시즌 1: 쫓는 자와 쫓기는 자","19. 10. 23."
"오펀 블랙: 시즌 1: 두 얼굴의 친구","19. 10. 22."
"오펀 블랙: 시즌 1: 감시자의 눈","19. 10. 22."
"오펀 블랙: 시즌 1: 화가 난 천사","19. 10. 22."
"오펀 블랙: 시즌 1: 미궁 속으로","19. 10. 20."
"오펀 블랙: 시즌 1: 또 다른 나","19. 10. 19."
"오펀 블랙: 시즌 1: 사건의 시작","19. 10. 18."
"굿 플레이스: 시즌 4: 애리조나 여자아이 - 파트 1","19. 10. 18."
"블랙 미러: 시즌 2: 화이트베어","19. 10. 6."
"블랙 미러: 시즌 5: 스트라이킹 바이퍼스","19. 10. 6."
"다크나이트","19. 10. 4."
"마블 제시카 존스: 시즌 1: 크러시 증후군","19. 10. 3."
"페르소나: 컬렉션: 밤을 걷다","19. 10. 3."
"페르소나: 컬렉션: 키스가 죄","19. 10. 2."
"페르소나: 컬렉션: 썩지않게 아주 오래","19. 10. 2."
"효리네 민박: 시즌 1: 12화","19. 9. 29."
"믿을 수 없는 이야기: 미니 시리즈: 5화","19. 9. 22."
"믿을 수 없는 이야기: 미니 시리즈: 4화","19. 9. 22."
"믿을 수 없는 이야기: 미니 시리즈: 3화","19. 9. 21."
"믿을 수 없는 이야기: 미니 시리즈: 2화","19. 9. 21."
"믿을 수 없는 이야기: 미니 시리즈: 1화","19. 9. 21."
"서던 리치: 소멸의 땅","19. 9. 8."
"모던 패밀리: 시즌 1: 피즈보","19. 9. 3."
"모던 패밀리: 시즌 1: 위대한 유산","19. 9. 3."
"모던 패밀리: 시즌 1: 준비!","19. 9. 3."
"모던 패밀리: 시즌 1: 파일럿 에피소드","19. 9. 3."
"너의 결혼식","19. 9. 3."
"리틀 포레스트","19. 8. 25."
"Ant-Man and the Wasp","19. 8. 25."
"앤트맨","19. 8. 25."
"블랙 미러: 시즌 1: 당신의 모든 순간","19. 8. 25."
"블랙 미러: 시즌 1: 핫 샷","19. 8. 25."
"스파이더맨: 뉴 유니버스","19. 8. 24."
"나우 유 씨 미 2","19. 8. 23."
"나우 유 씨 미: 마술사기단","19. 8. 23."
"미스터 스와이프","19. 8. 20."
"레이디 버드","19. 8. 19."
"굿모닝 에브리원","19. 8. 15."
"인크레더블 2","19. 8. 14."
"엄브렐러 아카데미: 시즌 1: 평범한 아이","19. 8. 9."
"엄브렐러 아카데미: 시즌 1: 시간을 달리는 소년","19. 8. 9."
"엄브렐러 아카데미: 시즌 1: 가족 모임","19. 8. 8."
"산타클라리타 다이어트: 시즌 3: 쉴라를 따르라","19. 8. 7."
"산타클라리타 다이어트: 시즌 3: 좀비는 아니야","19. 8. 7."
"산타클라리타 다이어트: 시즌 3: 영원히!","19. 8. 7."
"산타클라리타 다이어트: 시즌 3: 쉴라는 친절하기도 하지","19. 8. 7."
"산타클라리타 다이어트: 시즌 3: 나도 기사단","19. 8. 7."
"산타클라리타 다이어트: 시즌 3: 머리 조심!","19. 8. 7."
"산타클라리타 다이어트: 시즌 3: 고양이가 좋아요","19. 8. 6."
"산타클라리타 다이어트: 시즌 3: 오늘도 누군가는 죽겠지","19. 8. 6."
"산타클라리타 다이어트: 시즌 3: 기사단이 온다","19. 8. 6."
"산타클라리타 다이어트: 시즌 3: 부펜로프","19. 8. 5."
"산타클라리타 다이어트: 시즌 2: 비상!","19. 8. 5."
"산타클라리타 다이어트: 시즌 2: 수상한 목록","19. 8. 5."
"산타클라리타 다이어트: 시즌 2: 그날 밤 쉴라는","19. 8. 4."
"산타클라리타 다이어트: 시즌 2: 한 번에 하나씩","19. 8. 4."
"산타클라리타 다이어트: 시즌 2: 정열의 탱고를","19. 8. 4."
"산타클라리타 다이어트: 시즌 2: 계획범죄","19. 8. 4."
"산타클라리타 다이어트: 시즌 2: 영국 여왕을 차지했네","19. 8. 4."
"산타클라리타 다이어트: 시즌 2: 좋은 사람? 나쁜 사람?","19. 8. 4."
"산타클라리타 다이어트: 시즌 2: 코요테처럼","19. 8. 4."
"산타클라리타 다이어트: 시즌 2: 완벽하진 않아도, 우리는 가족","19. 8. 4."
"산타클라리타 다이어트: 시즌 1: 바카, 담즙, 야구 방망이","19. 8. 3."
"산타클라리타 다이어트: 시즌 1: 그 책!","19. 8. 3."
"산타클라리타 다이어트: 시즌 1: 얼마나 토했길래","19. 8. 3."
"산타클라리타 다이어트: 시즌 1: 이상하거나 생각이 짧거나","19. 8. 3."
"산타클라리타 다이어트: 시즌 1: 디테일에 강합니다","19. 8. 3."
"산타클라리타 다이어트: 시즌 1: 사람이 사람을 먹는다","19. 8. 3."
"산타클라리타 다이어트: 시즌 1: 방귀쟁이 섹스 관광객","19. 8. 2."
"산타클라리타 다이어트: 시즌 1: 사람을 죽이면 되지","19. 8. 2."
"산타클라리타 다이어트: 시즌 1: 사람을 죽일 순 없어","19. 8. 2."
"산타클라리타 다이어트: 시즌 1: 박쥐 아니면 원숭이 탓","19. 8. 2."
"마블 제시카 존스: 시즌 1: 레이디스 나잇","19. 8. 1."
"마블 데어데블: 시즌 1: 권투장으로","19. 7. 31."
"60일, 지정생존자: 시즌 1: 자백","19. 7. 30."
"60일, 지정생존자: 시즌 1: 현상유지","19. 7. 30."
"60일, 지정생존자: 시즌 1: 국군통수권자","19. 7. 29."
"오렌지 이즈 더 뉴 블랙: 시즌 7: 계속 가볼까","19. 7. 29."
"오렌지 이즈 더 뉴 블랙: 시즌 7: 용서받을 기회","19. 7. 29."
"오렌지 이즈 더 뉴 블랙: 시즌 7: 위대한 미국","19. 7. 29."
"오렌지 이즈 더 뉴 블랙: 시즌 7: 지옥의 시작","19. 7. 29."
"60일, 지정생존자: 시즌 1: 권한대행","19. 7. 28."
"오렌지 이즈 더 뉴 블랙: 시즌 7: 은신처로","19. 7. 28."
"오렌지 이즈 더 뉴 블랙: 시즌 7: 13마리 닭","19. 7. 28."
"오렌지 이즈 더 뉴 블랙: 시즌 7: #미투","19. 7. 28."
"오렌지 이즈 더 뉴 블랙: 시즌 7: 속죄의 엘리베이터","19. 7. 27."
"오렌지 이즈 더 뉴 블랙: 시즌 7: 이민자들","19. 7. 27."
"오렌지 이즈 더 뉴 블랙: 시즌 7: 어떻게 살 것인가","19. 7. 27."
"오렌지 이즈 더 뉴 블랙: 시즌 7: 새로운 물결","19. 7. 27."
"오렌지 이즈 더 뉴 블랙: 시즌 7: 디저트에 정의를","19. 7. 26."
"오렌지 이즈 더 뉴 블랙: 시즌 7: 끝을 향하여","19. 7. 26."
"기묘한 이야기: 기묘한 이야기 3: 제8장 스타코트 전투","19. 7. 16."
"기묘한 이야기: 기묘한 이야기 3: 제7장 일레븐의 상처","19. 7. 16."
"기묘한 이야기: 기묘한 이야기 3: 제6장 해변의 소년","19. 7. 16."
"기묘한 이야기: 기묘한 이야기 3: 제5장 감염자들","19. 7. 16."
"기묘한 이야기: 기묘한 이야기 3: 제4장 추적","19. 7. 16."
"기묘한 이야기: 기묘한 이야기 3: 제3장 헤더에게 생긴 일","19. 7. 16."
"기묘한 이야기: 기묘한 이야기 3: 제2장 암호","19. 7. 16."
"기묘한 이야기: 기묘한 이야기 3: 제1장 무전","19. 7. 16."
"기묘한 이야기: 기묘한 이야기 2: 제9장 문","19. 7. 12."
"기묘한 이야기: 기묘한 이야기 2: 제8장 마인드 플레이어","19. 7. 12."
"기묘한 이야기: 기묘한 이야기 2: 제7장 잃어버린 소녀","19. 7. 11."
"기묘한 이야기: 기묘한 이야기 2: 제6장 스파이","19. 7. 11."
"기묘한 이야기: 기묘한 이야기 2: 제5장 딕 덕","19. 7. 10."
"기묘한 이야기: 기묘한 이야기 2: 제4장 현자 윌","19. 7. 10."
"기묘한 이야기: 기묘한 이야기 2: 제3장 올챙이","19. 7. 10."
"기묘한 이야기: 기묘한 이야기 2: 제2장 핼러윈의 괴물","19. 7. 10."
"기묘한 이야기: 기묘한 이야기 2: 제1장 매드 맥스","19. 7. 10."
"기묘한 이야기: 제8장: 뒤집힌 곳","19. 7. 9."
"기묘한 이야기: 제7장: 욕조","19. 7. 9."
"기묘한 이야기: 제6장: 괴물","19. 7. 9."
"나의 마더","19. 7. 9."
"기묘한 이야기: 제5장: 벼룩과 곡예사","19. 7. 5."
"기묘한 이야기: 제4장: 시체","19. 7. 5."
"기묘한 이야기: 제3장: 홀리, 졸리","19. 7. 5."
"기묘한 이야기: 제2장: 메이플가의 이상한 아이","19. 7. 5."
"기묘한 이야기: 제1장: 윌 바이어스의 실종","19. 7. 4."
"빌어먹을 세상 따위: 시즌 1: 8화","19. 7. 4."
"빌어먹을 세상 따위: 시즌 1: 7화","19. 7. 4."
"빌어먹을 세상 따위: 시즌 1: 6화","19. 7. 4."
"빌어먹을 세상 따위: 시즌 1: 5화","19. 7. 4."
"빌어먹을 세상 따위: 시즌 1: 4화","19. 7. 4."
